"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
460,0.00259086066169159,0.174140342246053,0.972912489903291,0.116613631534888,0.0129760752945693,0.00373908500491404,"**"
462,0.106719527258153,0.146907001573451,0.680019257772912,0.11847689530814,0.010588451056637,0.00118944561027823,"**"
464,0.243795534389119,0.162216484419969,0.834792827316522,0.117779031632356,0.0116455926709535,0.00231169561654865,"**"
466,0.325813630539587,0.142206786563378,0.633462900388414,0.119077143674089,0.00977712905447485,0.00103183053353706,"**"
468,0.407979979258918,0.13497217278763,0.588117830480984,0.115963807389329,0.0147956989219262,0.0166091588788666,"*"
470,0.48123520570687,0.134067084257302,0.602434168340809,0.111957760161762,0.0194102716262807,0.0128174344534691,"*"
472,0.113467374932535,0.151857243787594,0.906990882479231,0.093082078447337,0.039345295678071,0.106492806255082," "
474,0.396834897593332,0.125189814095332,0.630481867980295,0.0901669753581989,0.0423433827563948,0.13221159178746," "
476,-0.0439742739883729,0.123467343186792,0.710108927088066,0.0695380432589126,0.0595537526636105,0.325633975920138," "
478,0.227783000901943,0.112401768593436,0.493133101531954,0.0940528056644294,0.0368791584543336,0.0837170483698141,"."
480,-0.324318501693758,0.14041931481218,0.796971274022751,0.0895476725766294,0.0461931325187142,0.171191176700626," "
